# GALAH DR3 ID: 131120001102089
# wv, flux
5653.236041069031 1285.28857421875
5653.290700912476 1287.02685546875
5653.34536075592 1278.6082763671875
5653.400020599365 1259.9217529296875
5653.45468044281 1269.5230712890625
5653.509340286255 1273.4310302734375
5653.5640001297 1258.8411865234375
5653.6186599731445 1250.161376953125
5653.673319816589 1262.7823486328125
5653.727979660034 1273.60009765625
5653.782639503479 1287.0657958984375
5653.837299346924 1278.6663818359375
5653.891959190369 1261.85302734375
5653.9466190338135 1258.552490234375
5654.001278877258 1246.870361328125
5654.055938720703 1236.3441162109375
5654.110598564148 1234.507568359375
5654.165258407593 1229.33935546875
5654.219918251038 1230.1512451171875
5654.274578094482 1250.437744140625
5654.329237937927 1240.837646484375
5654.383897781372 1217.652099609375
5654.438557624817 1204.281982421875
5654.493217468262 1190.6285400390625
5654.5478773117065 1170.9910888671875
5654.602537155151 1169.5654296875
5654.657196998596 1196.7633056640625
5654.711856842041 1231.5111083984375
5654.766516685486 1269.500244140625
5654.821176528931 1291.017822265625
5654.8758363723755 1263.38525390625
5654.93049621582 1271.644287109375
5654.985156059265 1295.2657470703125
5655.03981590271 1306.837890625
5655.094475746155 1311.8555908203125
5655.1491355896 1301.884765625
5655.203795433044 1271.8251953125
5655.258455276489 1273.7691650390625
5655.313115119934 1288.493896484375
5655.367774963379 1301.7412109375
5655.422434806824 1320.9598388671875
5655.477094650269 1318.8658447265625
5655.531754493713 1323.521728515625
5655.586414337158 1327.440185546875
5655.641074180603 1302.2198486328125
5655.695734024048 1268.60888671875
5655.750393867493 1281.483642578125
5655.8050537109375 1290.59326171875
5655.859713554382 1295.472412109375
5655.914373397827 1298.126708984375
5655.969033241272 1303.842529296875
5656.023693084717 1317.3079833984375
5656.078352928162 1307.32080078125
5656.133012771606 1281.1746826171875
5656.187672615051 1289.99169921875
5656.242332458496 1319.341796875
5656.296992301941 1324.3656005859375
5656.351652145386 1301.666259765625
5656.406311988831 1272.6041259765625
5656.460971832275 1263.9229736328125
5656.51563167572 1271.9703369140625
5656.570291519165 1271.9029541015625
5656.62495136261 1256.327880859375
5656.679611206055 1238.92626953125
5656.7342710494995 1191.2596435546875
5656.788930892944 1115.64501953125
5656.843590736389 1037.636962890625
5656.898250579834 970.2588500976562
5656.952910423279 929.9447021484375
5657.007570266724 962.5479125976562
5657.0622301101685 1034.2637939453125
5657.116889953613 1098.6507568359375
5657.171549797058 1140.2327880859375
5657.226209640503 1157.193359375
5657.280869483948 1149.4356689453125
5657.335529327393 1117.10205078125
5657.390189170837 1071.21044921875
5657.444849014282 1028.5540771484375
5657.499508857727 1015.9999389648438
5657.554168701172 1048.940673828125
5657.608828544617 1039.092041015625
5657.6634883880615 1000.5637817382812
5657.718148231506 955.472900390625
5657.772808074951 907.1744995117188
5657.827467918396 877.799560546875
5657.882127761841 863.056640625
5657.936787605286 884.2657470703125
5657.9914474487305 947.9367065429688
5658.046107292175 1048.359375
5658.10076713562 1156.3131103515625
5658.155426979065 1211.8599853515625
5658.21008682251 1252.058349609375
5658.264746665955 1274.0115966796875
5658.319406509399 1273.2711181640625
5658.374066352844 1269.159912109375
5658.428726196289 1270.598876953125
5658.483386039734 1277.4993896484375
5658.538045883179 1280.9498291015625
5658.5927057266235 1297.8648681640625
5658.647365570068 1315.318603515625
5658.702025413513 1302.764404296875
5658.756685256958 1284.9921875
5658.811345100403 1290.4345703125
5658.866004943848 1283.137939453125
5658.9206647872925 1271.988525390625
5658.975324630737 1284.691162109375
5659.029984474182 1298.828369140625
5659.084644317627 1299.0731201171875
5659.139304161072 1291.182373046875
5659.193964004517 1284.555419921875
5659.248623847961 1276.511962890625
5659.303283691406 1267.6461181640625
5659.357943534851 1276.3258056640625
5659.412603378296 1275.1544189453125
5659.467263221741 1275.918212890625
5659.521923065186 1276.3096923828125
5659.57658290863 1274.1080322265625
5659.631242752075 1276.81787109375
5659.68590259552 1245.489990234375
5659.740562438965 1230.2659912109375
5659.79522228241 1241.673828125
5659.8498821258545 1262.808349609375
5659.904541969299 1276.6336669921875
5659.959201812744 1259.6539306640625
5660.013861656189 1267.91552734375
5660.068521499634 1278.88916015625
5660.123181343079 1286.2490234375
5660.177841186523 1305.27783203125
5660.232501029968 1322.8150634765625
5660.287160873413 1318.9022216796875
5660.341820716858 1283.6912841796875
5660.396480560303 1253.1759033203125
5660.451140403748 1241.521484375
5660.505800247192 1239.9154052734375
5660.560460090637 1257.781494140625
5660.615119934082 1272.1656494140625
5660.669779777527 1262.538330078125
5660.724439620972 1246.561279296875
5660.7790994644165 1252.9136962890625
5660.833759307861 1282.7906494140625
5660.888419151306 1302.5113525390625
5660.943078994751 1311.3670654296875
5660.997738838196 1299.6666259765625
5661.052398681641 1272.927001953125
5661.107058525085 1260.9949951171875
5661.16171836853 1272.4949951171875
5661.216378211975 1250.9334716796875
5661.27103805542 1240.8839111328125
5661.325697898865 1229.0731201171875
5661.38035774231 1202.6683349609375
5661.435017585754 1174.454833984375
5661.489677429199 1106.5313720703125
5661.544337272644 1068.3597412109375
5661.598997116089 1067.67578125
5661.653656959534 1081.8017578125
5661.7083168029785 1106.601318359375
5661.762976646423 1132.6920166015625
5661.817636489868 1134.6053466796875
5661.872296333313 1102.0673828125
5661.926956176758 1067.507080078125
5661.981616020203 1064.45947265625
5662.0362758636475 1096.0596923828125
5662.090935707092 1119.40087890625
5662.145595550537 1152.4820556640625
5662.200255393982 1181.1212158203125
5662.254915237427 1209.2943115234375
5662.309575080872 1250.3311767578125
5662.364234924316 1286.9342041015625
5662.418894767761 1291.2982177734375
5662.473554611206 1287.6904296875
5662.528214454651 1281.447265625
5662.582874298096 1286.1182861328125
5662.6375341415405 1309.1708984375
5662.692193984985 1316.193603515625
5662.74685382843 1310.2392578125
5662.801513671875 1316.0408935546875
5662.85617351532 1310.8349609375
5662.910833358765 1292.5380859375
5662.9654932022095 1272.7581787109375
5663.020153045654 1234.63671875
5663.074812889099 1233.6051025390625
5663.129472732544 1233.3446044921875
5663.184132575989 1246.0196533203125
5663.238792419434 1288.2618408203125
5663.293452262878 1312.7547607421875
5663.348112106323 1314.26513671875
5663.402771949768 1286.048095703125
5663.457431793213 1279.61083984375
5663.512091636658 1292.0560302734375
5663.5667514801025 1277.3143310546875
5663.621411323547 1260.6820068359375
5663.676071166992 1269.3712158203125
5663.730731010437 1278.0543212890625
5663.785390853882 1279.6236572265625
5663.840050697327 1301.7855224609375
5663.8947105407715 1337.3111572265625
5663.949370384216 1327.2694091796875
5664.004030227661 1312.768798828125
5664.058690071106 1333.2852783203125
